Title,Description,Collection,Elements,Featuring,SKU,Product,Addelements,Images
Bolton,Titanium wedding ring with shoulder cut borders and nugget center texture.,Men's titanium rings,stone texture,Classic style,"BOLTON-03MM, BOLTON-04MM, BOLTON-05MM, BOLTON-06MM, BOLTON-07MM, BOLTON-08MM",rings,shoulder cuts,bolton.jpg
Bartlett 1,"Titanium band with ten-point ruby. Ring shown is 5mm wide, size 4.",Women's titanium rings,rubies,Gemstones,"BARTLETT-1-05MM, BARTLETT-1-06MM, BARTLETT-1-07MM, BARTLETT-1-08MM, BARTLETT-1-09MM, BARTLETT-1-10MM, BARTLETT-1-11MM, BARTLETT-1-12MM",rings,,bartlett.jpg
Birken 2,"Titanium ring with 5-point enhanced blue diamond, grooves, polished borders and stone-textured center. Rings shown are 6mm wide, size 5.75; 4mm, size 6.5; and 9mm, size 6.5.",Men's titanium rings,blue diamonds,Gemstones,"BIRKEN-2-04MM, BIRKEN-2-05MM, BIRKEN-2-06MM, BIRKEN-2-07MM, BIRKEN-2-08MM, BIRKEN-2-09MM, BIRKEN-2-10MM, BIRKEN-2-11MM, BIRKEN-2-12MM",rings,"diamonds, grooves, stone texture","birken-2.jpg, birken-2_2.jpg, birken-2_3.jpg"
